Rank,Projection Score,PositionComposite,AgeMultiplier,LeagueMultiplier,Player,Nation,Pos,Squad,25/26 Lg,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,Accurate passes per 90,Chances Created
123,11.5,30.4,0.9,0.7,Younes Ebnoutalib,Germany,FW,SV Elversberg,2 Lg,23,2003,17,13,1260,14.0,12,0,12,11,1,1,2,0,11.0,11.0,15.0,1.0,3.0,4.0,8.1,2.0
124,11.2,25.5,0.975,0.7,Jonah Sticker,Germany,MF,Paderborn,2 Lg,22,2004,22,7,813,9.0,0,0,0,0,0,0,0,0,6.0,21.0,0.0,9.0,10.0,18.0,28.6,5.0
125,10.8,19.6,1.05,0.7,Cajetan Lenz,Germany,MF,Hoffenheim,2 Lg,20,2006,34,25,2181,24.2,2,1,2,2,0,0,10,0,31.0,13.0,2.0,11.0,18.0,33.0,28.1,15.0
126,10.4,23.8,1.15,0.7,Mika Wallentowitz,Germany,MF,Schalke 04,2 Lg,19,2007,13,7,507,5.6,0,1,1,0,0,0,1,0,15.0,1.0,1.0,10.0,5.0,3.0,32.3,3.0
127,10.3,30.3,0.9,0.5,Tristan Zobel,Germany,CB,Paderborn,3 Lg,23,2003,36,35,3208,35.6,1,1,2,1,0,0,7,0,11.5,8.5,0.0,3.5,18.0,15.5,42.3,8.0
128,10.1,26.3,0.95,0.7,David Mokwa,France,FW,SV Elversberg,2 Lg,22,2004,17,14,1153,12.8,6,0,6,6,0,0,0,0,18.0,11.0,6.0,0.0,0.0,5.0,7.2,6.0
129,8.5,20.3,1.025,0.7,Maurice Krattenmacher,Germany,MF,SV Elversberg,2 Lg,21,2005,22,6,685,7.6,1,0,1,1,0,0,0,0,13.0,42.0,0.0,13.0,1.0,4.0,21.3,9.0
130,7.1,14.6,1.15,0.7,Francis Onyeka,Germany,MF,SV Elversberg,2 Lg,19,2007,30,25,2130,23.7,8,1,9,6,2,3,2,0,28.0,9.0,1.0,14.0,3.0,13.0,13.7,23.0
131,6.8,20.2,1.15,0.5,Mirza Catovic,Germany,MF,Stuttgart,3 Lg,19,2007,29,28,2307,25.6,1,0,1,1,0,0,10,0,15.0,13.0,1.0,10.0,10.0,15.0,38.3,26.0
132,6.3,27.5,1.05,0.5,Sani Suleiman,Nigeria,FW,RB Leipzig,Slovakia 1 liga,20,2006,12,8,860,9.555555555555555,3,2,5,0,0,0,2,2,13.0,10.0,4.0,6.0,2.0,5.0,16.0,6.0
133,5.5,14.5,1.05,0.7,Mertcan Ayhan,Turkey,CB,Schalke 04,2 Lg,20,2006,27,20,1938,21.5,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,8.0
134,0.3,10.2,1.15,0.5,Clemens Lippmann,Germany,MF,Paderborn,3 Lg,19,2006,25,20,1827,20.3,1,1,2,1,0,0,0,0,15.0,13.0,1.0,10.0,10.0,15.0,18.8,9.0
135,0.0,8.8,1.0,0.7,Vitalie Becker,Germany,LB,Schalke 04,2 Lg,21,2005,18,17,1536,17.1,2,1,3,2,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,15.0
